banana	香蕉	n. 
band	乐队，带子	n. 
bandage	绷带	n. 
bandit	盗匪，歹徒	n. 
bang	砰的一响	n. v. 
bank	岸，银行	n. 
banker	银行家	n. 
banking	银行业务、金融业	n. 
bankrupt	破产	n. v. adj. 
banner	旗帜，横幅	n. 
banquet	宴会	n. 
bar	棒，杆，酒吧	n. 
barber	理发师	n. 
bare	裸的，直率的	adj. 
barely	赤裸裸地	adv. 
bargain	交易，便宜货	n. 
barge	驳船	n. 
bark	狗吠，树皮	n. 
barn	谷仓，牲口棚	n. 
barometer	晴雨表，标记	n. 
baron	男爵	n. 
baroness	男爵夫人，女男爵	n. 
barrel	桶，枪(炮)管	n. 
barren	不育的，贫瘠的	adj. 
barrier	障碍，壁垒	n. 
barter	易货贸易	n. 
base	基础，基地	n. 
baseball	棒球	n. 
basement	地下室，地窖	n. 
basic	基本的，基础的	adj. 
basically	基本上，主要地	adv. 
basin	盆，盆地	n. 
basis	基础，根据	n. 
basket	篮子，筐	n. 
basketball	篮球	n. 
bat	球拍，蝙蝠	n. 
bath	洗澡，浴室	n. 
bathe	洗澡，冲洗	v. 
bathroom	浴室，洗手间	n. 
batter	打击	v. 
battery	电池	n. 
battle	战斗，战役	n. 
bay	海湾，湾	n. 
bazaar	集市	n. 
be	是，存在	v. 
beach	海滩，湖滨	n. 
bead	有孔小珠	n. 
beak	鸟嘴	n. 
beam	梁，射线	n. 
bean	豆子	n. 
bear	负担，忍受，生育	v. 
bearing	举止，意义，轴承	n. 
bearish	熊市的	adj. 
beast	野兽，牲畜	n. 
beat	打，击败	v. 
beautiful	美丽的，绝妙的	adj. 
beauty	美，美女	n. 
because	因为，由于	conj. 
become	变成	v. 
bed	床，河床，苗圃	n. 
bedroom	卧室	n. 
bee	蜜蜂	n. 
beef	牛肉	n. 
beer	啤酒	n. 
beetle	甲虫	n. 
before	在...前面	prep. 
beforehand	事先，预先	adv. 
beg	乞讨，恳求	v. 
beggar	乞丐	n. 
begin	开始，着手进行	v. 
beginner	初学者	n. 
beginning	开端，起点	n. 
behalf	代表	n. 
behave	行为，举动	v. 
behavior	行为，举止	n. 
behind	在...后面	prep. 
behindhand	落后，事后	adj. 
being	生物，存在	n. 
belief	信仰，信心	n. 
believe	相信，认为	v. 
bell	钟，铃	n. 
belly	肚子	n. 
belong	属于	v. 
beloved	敬爱的	adj. 
below	在...下面	adj. prep. 
belt	带，腰带	n. 
bench	长凳，工作台	n. 
bend	弯曲，俯身	v. 
beneath	在...之下	prep. 
beneficial	有益的，有利的	adj. 
beneficiary	受益者	n. 
benefit	益处，利益	n. 
benevolence	慈悲，捐助	n. 
benevolent	乐善好施的	adj. 
bent	弯曲的	adj. 
berry	浆果	n. 
beside	在...之旁	prep. 
besides	而且	adj. 
best	最好的	adj. 
bestow	赠给，授予	v. 
best-seller	畅销书(货)	n. 
best-selling	畅销的	adj. 
bet	打赌	n. v. 
betray	背叛，泄露	v. 
betrayal	背叛，暴露	n. 
better	更好的	adj. 
better-off	经济情况较好的	adj. 
between	在两者之间	prep. 
beverage	饮料	n. 
beware	当心	v. 
bewilder	迷惑，茫然	v. 
beyond	在...那边，超出	prep. 
bias	偏好	n. 
bible	圣经	n. 
bicycle	自行车	n. 
bid	报价，投标	n. v. 
bidding	投标	n. 
big	大的，重大的	adj. 
bike	自行车	n. 
bill	帐单，议案，钞票	n. 
billion	十亿	n. 
bind	捆绑，约束	v. 
binding	装订	n. 
biographer	传记记者	n. 
biography	传记	n. 
biologist	生物学家	n. 
biology	生物学	n. 
bird	鸟	n. 
birth	出生，创始	n. 
birthday	生日，诞辰	n. 
birthplace	出生地	n. 
biscuit	饼干	n. 
bishop	主教	n. 
bit	小片，一点	n. 
bite	咬，叮	n. v. 
bitter	苦的，痛苦的	adj. 
